ITEM_ID,BASAL,TITLE,CALORIES,COMPLEXITY,INGREDIENTS,CARBS,FATS,PROTEINS,TASTE,VEGETARIAN
bread - Grilled Cheese,bread,Grilled Cheese,320,easy,'bread' 'cheese' 'butter',28,20,10,4,true
bread - Grilled Cheese and Tomato Soup,bread,Grilled Cheese and Tomato Soup,610,easy,'bread' 'cheese' 'butter' 'tomato' 'onion' 'garlic' 'cream' 'vegetable broth',56,38,14,4,true
beef - Hearty Beef Stew,beef,Hearty Beef Stew,500,hard,'beef stew meat' 'carrots' 'potatoes' 'onion' 'garlic' 'tomato paste' 'beef broth' 'red wine' 'bay leaves' 'thyme' 'flour' 'butter' 'salt' 'pepper',30,35,35,4,false
rice - Beef and broccoli stir fry,rice,Beef and broccoli stir fry,400,normal,'1 pound flank steak thinly sliced against the grain' '1 pound broccoli cut into florets' '2 tablespoons vegetable oil' '1 teaspoon minced garlic' '1 teaspoon minced ginger' '1/4 cup soy sauce' '2 tablespoons brown sugar' '2 tablespoons cornstarch' '1/2 cup water',45,16,32,4,false
rice - Chicken Curry with Basmati Rice,rice,Chicken Curry with Basmati Rice,490,normal,'1 cup uncooked basmati rice' '2 tbsp vegetable oil' '1 onion chopped' '2 cloves garlic minced' '1 tbsp grated ginger' '1 lb boneless skinless chicken breast cubed' '2 tbsp curry powder' '1 tsp ground cumin' '1 tsp ground coriander' '1/2 tsp salt' '1/4 tsp black pepper' '1 can (14.5 oz) diced tomatoes undrained' '1 can (14 oz) coconut milk' '1/4 cup chopped fresh cilantro',49,20,34,4,false
rice - General Tso Chicken,rice,General Tso Chicken,900,normal,'chicken breast' 'cornstarch' 'soy sauce' 'rice vinegar' 'hoisin sauce' 'brown sugar' 'garlic' 'ginger' 'red pepper flakes' 'vegetable oil' 'green onion' 'white rice',75,35,50,5,false
rice - Mushroom Risotto,rice,Mushroom Risotto,350,normal,'mushrooms' 'onion' 'garlic' 'arborio rice' 'vegetable broth' 'white wine' 'parmesan cheese' 'butter' 'salt' 'pepper',36,11,9,4,true
vegetables - Chicken Soup,vegetables,Chicken Soup,450,easy,'carrots' 'celery' 'onion' 'garlic' 'potatoes' 'green beans' 'tomatoes' 'vegetable broth' 'bay leaf' 'thyme' 'rosemary' 'salt' 'pepper' 'chicken',25,30,35,4,false
vegetables - Vegetable Soup,vegetables,Vegetable Soup,250,easy,'carrots' 'celery' 'onion' 'garlic' 'potatoes' 'green beans' 'tomatoes' 'vegetable broth' 'bay leaf' 'thyme' 'rosemary' 'salt' 'pepper',25,3,5,3,true
postMan - proud-otter-55,postMan,proud-otter-55,700,hard,'rice' 'chicken' 'mixed veggies' 'tso sauce',300,50,80,4,false
postMan - proud-otter-92,postMan,proud-otter-92,700,hard,'rice' 'chicken' 'mixed veggies' 'tso sauce',300,50,80,4,false
postMan - swift-panda-46,postMan,swift-panda-46,700,hard,'rice' 'chicken' 'mixed veggies' 'tso sauce',300,50,80,4,false
pasta - Chicken Alfredo,pasta,Chicken Alfredo,800,normal,'chicken breast' 'pasta' 'heavy cream' 'parmesan cheese' 'butter' 'garlic' 'salt' 'pepper',70,45,40,4,false
pasta - Chicken Spaghetti,pasta,Chicken Spaghetti,400,easy,'spaghetti' 'tomato sauce' 'garlic' 'olive oil' 'basil' 'salt' 'pepper' 'chicken',70,18,35,3,false
pasta - Shrimp Scampi Pasta,pasta,Shrimp Scampi Pasta,550,normal,'pasta' 'shrimp' 'garlic' 'butter' 'olive oil' 'lemon juice' 'white wine' 'red pepper flakes' 'parsley' 'salt' 'black pepper',65,25,30,4,false
pasta - Spaghetti with Tomato Sauce,pasta,Spaghetti with Tomato Sauce,400,easy,'spaghetti' 'tomato sauce' 'garlic' 'olive oil' 'basil' 'salt' 'pepper',70,8,10,3,true
rice noodles - Chicken Phad Thai,rice noodles,Chicken Phad Thai,600,normal,'rice noodles' 'chicken' 'egg' 'bean sprouts' 'scallions' 'peanuts' 'garlic' 'vegetable oil' 'fish sauce' 'tamarind paste' 'sugar' 'red pepper flakes' 'lime' 'salt',70,22,30,4,false
rice noodles - Tofu Phad Thai,rice noodles,Tofu Phad Thai,600,normal,'rice noodles' 'tofu' 'egg' 'bean sprouts' 'scallions' 'peanuts' 'garlic' 'vegetable oil' 'fish sauce' 'tamarind paste' 'sugar' 'red pepper flakes' 'lime' 'salt',70,22,30,4,true
shrimp - Grilled Shrimp Skewers with Mango Salsa,shrimp,Grilled Shrimp Skewers with Mango Salsa,300,normal,'shrimp' 'mango' 'red bell pepper' 'red onion' 'cilantro' 'lime' 'garlic' 'cumin' 'smoked paprika' 'olive oil' 'salt' 'pepper',20,10,35,5,false
tofu - Tofu and Mixed Vegetable Stir-Fry,tofu,Tofu and Mixed Vegetable Stir-Fry,250,normal,'tofu' 'mixed vegetables (broccoli bell peppers carrots snap peas)' 'garlic' 'ginger' 'soy sauce' 'cornstarch' 'sugar' 'sesame oil' 'rice',30,10,20,4,true
tofu - Tofu and Vegetable Stir Fry,tofu,Tofu and Vegetable Stir Fry,450,normal,'1 block firm tofu cubed' '2 cups mixed vegetables (broccoli bell pepper carrot onion snap peas)' '1 tbsp vegetable oil' '2 cloves garlic minced' '1 inch piece of ginger minced' '3 tbsp soy sauce' '2 tbsp honey' '1 tbsp cornstarch' '2 tbsp water' 'Salt and pepper to taste',50,14,25,4,true
tofu - Vegetable Stir Fry with Tofu,tofu,Vegetable Stir Fry with Tofu,400,easy,'tofu' 'broccoli' 'carrots' 'bell peppers' 'onion' 'garlic' 'soy sauce' 'rice vinegar' 'cornstarch' 'sesame oil' 'sriracha' 'brown sugar' 'salt' 'pepper',30,20,20,4,true
romaine lettuce - Caesar Salad,romaine lettuce,Caesar Salad,250,easy,'romaine lettuce' 'croutons' 'parmesan cheese' 'lemon juice' 'garlic' 'dijon mustard' 'olive oil' 'worcestershire sauce' 'egg yolk' 'salt' 'pepper',10,20,8,4,true
chicken breast - Grilled Chicken Salad with Citrus Vinaigrette,chicken breast,Grilled Chicken Salad with Citrus Vinaigrette,400,normal,'chicken breast' 'mixed greens' 'avocado' 'tomatoes' 'red onion' 'orange' 'lime' 'olive oil' 'white wine vinegar' 'honey' 'dijon mustard' 'garlic' 'salt' 'pepper',20,25,35,4,false
steak - Steak with Roasted Potatoes and Green Beans,steak,Steak with Roasted Potatoes and Green Beans,450,normal,'1 lb. steak' '1 lb. baby potatoes' '8 oz. green beans' '4 cloves garlic' '2 tbsp. olive oil' '1 tsp. salt' '1/2 tsp. black pepper' '1 tbsp. chopped fresh rosemary',30,20,40,4,false
chicken - Chicken Fajita Bowl with Cilantro Lime Rice,chicken,Chicken Fajita Bowl with Cilantro Lime Rice,480,normal,'chicken breast' 'bell peppers' 'onion' 'black beans' 'corn' 'cilantro' 'lime' 'rice',60,5,45,4,false
chicken - Chicken Parmesan,chicken,Chicken Parmesan,600,normal,'chicken breast' 'breadcrumbs' 'parmesan cheese' 'mozzarella cheese' 'tomato sauce' 'flour' 'egg' 'olive oil' 'basil' 'salt' 'pepper',40,30,55,4,false
chicken - Grilled Chicken Salad with Citrus Vinaigrette,chicken,Grilled Chicken Salad with Citrus Vinaigrette,400,normal,'chicken breast' 'mixed greens' 'avocado' 'tomatoes' 'red onion' 'orange' 'lime' 'olive oil' 'white wine vinegar' 'honey' 'dijon mustard' 'garlic' 'salt' 'pepper',20,25,35,4,false
black beans - Black Bean and Sweet Potato Chili,black beans,Black Bean and Sweet Potato Chili,350,normal,'black beans' 'sweet potato' 'onion' 'garlic' 'bell pepper' 'diced tomatoes' 'tomato paste' 'chili powder' 'cumin' 'paprika' 'salt' 'black pepper' 'cilantro',50,2,20,3,true
salmon - Baked Salmon with Lemon and Herbs,salmon,Baked Salmon with Lemon and Herbs,400,easy,'salmon fillets' 'olive oil' 'lemon juice' 'garlic' 'rosemary' 'thyme' 'salt' 'black pepper',0,25,35,4,false
salmon - Grilled Salmon with Roasted Vegetables,salmon,Grilled Salmon with Roasted Vegetables,400,normal,'salmon' 'asparagus' 'bell peppers' 'zucchini' 'red onion' 'garlic' 'olive oil' 'lemon' 'thyme' 'salt' 'pepper',20,25,35,4,false
tortilla - Tofu Nachos,tortilla,Tofu Nachos,550,easy,'corn tortilla chips' 'tofu' 'black beans' 'jalapeno' 'cheddar cheese' 'avocado' 'tomatoes' 'cilantro' 'lime' 'salt' 'pepper',50,30,25,3,true
tortilla - Tofu Tacos,tortilla,Tofu Tacos,450,easy,'corn tortillas' 'tofu' 'lettuce' 'tomatoes' 'red onion' 'avocado' 'lime' 'cilantro' 'taco seasoning' 'salt' 'pepper',35,20,25,4,true
english muffin - Eggs Benedict,english muffin,Eggs Benedict,450,hard,'english muffins' 'Canadian bacon' 'eggs' 'butter' 'white vinegar' 'lemon juice' 'egg yolks' 'cayenne pepper' 'salt' 'black pepper',40,25,25,5,false
pork - Grilled Pork Chops with Sweet Potato Mash,pork,Grilled Pork Chops with Sweet Potato Mash,500,normal,'4 bone-in pork chops' '3 tablespoons olive oil' '1 tablespoon garlic powder' '1 tablespoon onion powder' '1 tablespoon smoked paprika' '1 teaspoon salt' '1/2 teaspoon black pepper' '4 medium sweet potatoes peeled and cubed' '4 tablespoons unsalted butter' '1/4 cup milk' '1 tablespoon maple syrup' 'salt and black pepper to taste',42,24,35,4,false
vegetarian - Vegetarian Stuffed Bell Peppers,vegetarian,Vegetarian Stuffed Bell Peppers,320,easy,'4 large bell peppers' '1 cup cooked rice' '1 can black beans drained and rinsed' '1 can corn drained' '1 can diced tomatoes' '1 onion diced' '1 tablespoon olive oil' '1 teaspoon cumin' '1/2 teaspoon garlic powder' '1/4 teaspoon chili powder' 'Salt and pepper to taste' '1 cup shredded cheese',48,10,13,3,true
WebApp - From Web App w/new keys,WebApp,From Web App w/new keys,100,normal,'one' 'six',12,13,10,4,true
WebApp - Test web app,WebApp,Test web app,1000,hard,'hello' 'there' 'this is a very long ingredient',2,3,1,5,true
wrap - Falafel Wrap,wrap,Falafel Wrap,400,easy,'4-5 falafel balls' '1 large tortilla' '2 tbsp hummus' '1/4 cup chopped tomatoes' '1/4 cup chopped cucumber' '1/4 cup chopped red onion' '1/4 cup chopped lettuce',50,15,20,4,true
ec2 - From EC2!!!,ec2,From EC2!!!,10,easy,'general' 'kenobi',2,3,1,4,true