"basal","title","calories","complexity","ingredients","macros","taste","vegetarian"
"bread","Grilled Cheese","320","easy","[{""S"":""bread""},{""S"":""cheese""},{""S"":""butter""}]","{""carbs"":{""N"":""28""},""fats"":{""N"":""20""},""proteins"":{""N"":""10""}}","4","true"
"bread","Grilled Cheese and Tomato Soup","610","easy","[{""S"":""bread""},{""S"":""cheese""},{""S"":""butter""},{""S"":""tomato""},{""S"":""onion""},{""S"":""garlic""},{""S"":""cream""},{""S"":""vegetable broth""}]","{""carbs"":{""N"":""56""},""fats"":{""N"":""38""},""proteins"":{""N"":""14""}}","4","true"
"beef","Hearty Beef Stew","500","hard","[{""S"":""beef stew meat""},{""S"":""carrots""},{""S"":""potatoes""},{""S"":""onion""},{""S"":""garlic""},{""S"":""tomato paste""},{""S"":""beef broth""},{""S"":""red wine""},{""S"":""bay leaves""},{""S"":""thyme""},{""S"":""flour""},{""S"":""butter""},{""S"":""salt""},{""S"":""pepper""}]","{""carbs"":{""N"":""30""},""fats"":{""N"":""35""},""proteins"":{""N"":""35""}}","4","false"
"rice","Beef and broccoli stir fry","400","normal","[{""S"":""1 pound flank steak, thinly sliced against the grain""},{""S"":""1 pound broccoli, cut into florets""},{""S"":""2 tablespoons vegetable oil""},{""S"":""1 teaspoon minced garlic""},{""S"":""1 teaspoon minced ginger""},{""S"":""1/4 cup soy sauce""},{""S"":""2 tablespoons brown sugar""},{""S"":""2 tablespoons cornstarch""},{""S"":""1/2 cup water""}]","{""carbs"":{""N"":""45""},""fats"":{""N"":""16""},""proteins"":{""N"":""32""}}","4","false"
"rice","Chicken Curry with Basmati Rice","490","normal","[{""S"":""1 cup uncooked basmati rice""},{""S"":""2 tbsp vegetable oil""},{""S"":""1 onion, chopped""},{""S"":""2 cloves garlic, minced""},{""S"":""1 tbsp grated ginger""},{""S"":""1 lb boneless, skinless chicken breast, cubed""},{""S"":""2 tbsp curry powder""},{""S"":""1 tsp ground cumin""},{""S"":""1 tsp ground coriander""},{""S"":""1/2 tsp salt""},{""S"":""1/4 tsp black pepper""},{""S"":""1 can (14.5 oz) diced tomatoes, undrained""},{""S"":""1 can (14 oz) coconut milk""},{""S"":""1/4 cup chopped fresh cilantro""}]","{""carbs"":{""N"":""49""},""fats"":{""N"":""20""},""proteins"":{""N"":""34""}}","4","false"
"rice","General Tso Chicken","900","normal","[{""S"":""chicken breast""},{""S"":""cornstarch""},{""S"":""soy sauce""},{""S"":""rice vinegar""},{""S"":""hoisin sauce""},{""S"":""brown sugar""},{""S"":""garlic""},{""S"":""ginger""},{""S"":""red pepper flakes""},{""S"":""vegetable oil""},{""S"":""green onion""},{""S"":""white rice""}]","{""carbs"":{""N"":""75""},""fats"":{""N"":""35""},""proteins"":{""N"":""50""}}","5","false"
"rice","Mushroom Risotto","350","normal","[{""S"":""mushrooms""},{""S"":""onion""},{""S"":""garlic""},{""S"":""arborio rice""},{""S"":""vegetable broth""},{""S"":""white wine""},{""S"":""parmesan cheese""},{""S"":""butter""},{""S"":""salt""},{""S"":""pepper""}]","{""carbs"":{""N"":""36""},""fats"":{""N"":""11""},""proteins"":{""N"":""9""}}","4","true"
"vegetables","Chicken Soup","450","easy","[{""S"":""carrots""},{""S"":""celery""},{""S"":""onion""},{""S"":""garlic""},{""S"":""potatoes""},{""S"":""green beans""},{""S"":""tomatoes""},{""S"":""vegetable broth""},{""S"":""bay leaf""},{""S"":""thyme""},{""S"":""rosemary""},{""S"":""salt""},{""S"":""pepper""},{""S"":""chicken""}]","{""carbs"":{""N"":""25""},""fats"":{""N"":""30""},""proteins"":{""N"":""35""}}","4","false"
"vegetables","Vegetable Soup","250","easy","[{""S"":""carrots""},{""S"":""celery""},{""S"":""onion""},{""S"":""garlic""},{""S"":""potatoes""},{""S"":""green beans""},{""S"":""tomatoes""},{""S"":""vegetable broth""},{""S"":""bay leaf""},{""S"":""thyme""},{""S"":""rosemary""},{""S"":""salt""},{""S"":""pepper""}]","{""carbs"":{""N"":""25""},""fats"":{""N"":""3""},""proteins"":{""N"":""5""}}","3","true"
"postMan","proud-otter-55","700","hard","[{""S"":""rice""},{""S"":""chicken""},{""S"":""mixed veggies""},{""S"":""tso sauce""}]","{""carbs"":{""N"":""300""},""fats"":{""N"":""50""},""proteins"":{""N"":""80""}}","4","false"
"postMan","proud-otter-92","700","hard","[{""S"":""rice""},{""S"":""chicken""},{""S"":""mixed veggies""},{""S"":""tso sauce""}]","{""carbs"":{""N"":""300""},""fats"":{""N"":""50""},""proteins"":{""N"":""80""}}","4","false"
"postMan","swift-panda-46","700","hard","[{""S"":""rice""},{""S"":""chicken""},{""S"":""mixed veggies""},{""S"":""tso sauce""}]","{""carbs"":{""N"":""300""},""fats"":{""N"":""50""},""proteins"":{""N"":""80""}}","4","false"
"pasta","Chicken Alfredo","800","normal","[{""S"":""chicken breast""},{""S"":""pasta""},{""S"":""heavy cream""},{""S"":""parmesan cheese""},{""S"":""butter""},{""S"":""garlic""},{""S"":""salt""},{""S"":""pepper""}]","{""carbs"":{""N"":""70""},""fats"":{""N"":""45""},""proteins"":{""N"":""40""}}","4","false"
"pasta","Chicken Spaghetti","400","easy","[{""S"":""spaghetti""},{""S"":""tomato sauce""},{""S"":""garlic""},{""S"":""olive oil""},{""S"":""basil""},{""S"":""salt""},{""S"":""pepper""},{""S"":""chicken""}]","{""carbs"":{""N"":""70""},""fats"":{""N"":""18""},""proteins"":{""N"":""35""}}","3","false"
"pasta","Shrimp Scampi Pasta","550","normal","[{""S"":""pasta""},{""S"":""shrimp""},{""S"":""garlic""},{""S"":""butter""},{""S"":""olive oil""},{""S"":""lemon juice""},{""S"":""white wine""},{""S"":""red pepper flakes""},{""S"":""parsley""},{""S"":""salt""},{""S"":""black pepper""}]","{""carbs"":{""N"":""65""},""fats"":{""N"":""25""},""proteins"":{""N"":""30""}}","4","false"
"pasta","Spaghetti with Tomato Sauce","400","easy","[{""S"":""spaghetti""},{""S"":""tomato sauce""},{""S"":""garlic""},{""S"":""olive oil""},{""S"":""basil""},{""S"":""salt""},{""S"":""pepper""}]","{""carbs"":{""N"":""70""},""fats"":{""N"":""8""},""proteins"":{""N"":""10""}}","3","true"
"rice noodles","Chicken Phad Thai","600","normal","[{""S"":""rice noodles""},{""S"":""chicken""},{""S"":""egg""},{""S"":""bean sprouts""},{""S"":""scallions""},{""S"":""peanuts""},{""S"":""garlic""},{""S"":""vegetable oil""},{""S"":""fish sauce""},{""S"":""tamarind paste""},{""S"":""sugar""},{""S"":""red pepper flakes""},{""S"":""lime""},{""S"":""salt""}]","{""carbs"":{""N"":""70""},""fats"":{""N"":""22""},""proteins"":{""N"":""30""}}","4","false"
"rice noodles","Tofu Phad Thai","600","normal","[{""S"":""rice noodles""},{""S"":""tofu""},{""S"":""egg""},{""S"":""bean sprouts""},{""S"":""scallions""},{""S"":""peanuts""},{""S"":""garlic""},{""S"":""vegetable oil""},{""S"":""fish sauce""},{""S"":""tamarind paste""},{""S"":""sugar""},{""S"":""red pepper flakes""},{""S"":""lime""},{""S"":""salt""}]","{""carbs"":{""N"":""70""},""fats"":{""N"":""22""},""proteins"":{""N"":""30""}}","4","true"
"shrimp","Grilled Shrimp Skewers with Mango Salsa","300","normal","[{""S"":""shrimp""},{""S"":""mango""},{""S"":""red bell pepper""},{""S"":""red onion""},{""S"":""cilantro""},{""S"":""lime""},{""S"":""garlic""},{""S"":""cumin""},{""S"":""smoked paprika""},{""S"":""olive oil""},{""S"":""salt""},{""S"":""pepper""}]","{""carbs"":{""N"":""20""},""fats"":{""N"":""10""},""proteins"":{""N"":""35""}}","5","false"
"tofu","Tofu and Mixed Vegetable Stir-Fry","250","normal","[{""S"":""tofu""},{""S"":""mixed vegetables (broccoli, bell peppers, carrots, snap peas)""},{""S"":""garlic""},{""S"":""ginger""},{""S"":""soy sauce""},{""S"":""cornstarch""},{""S"":""sugar""},{""S"":""sesame oil""},{""S"":""rice""}]","{""carbs"":{""N"":""30""},""fats"":{""N"":""10""},""proteins"":{""N"":""20""}}","4","true"
"tofu","Tofu and Vegetable Stir Fry","450","normal","[{""S"":""1 block firm tofu, cubed""},{""S"":""2 cups mixed vegetables (broccoli, bell pepper, carrot, onion, snap peas)""},{""S"":""1 tbsp vegetable oil""},{""S"":""2 cloves garlic, minced""},{""S"":""1 inch piece of ginger, minced""},{""S"":""3 tbsp soy sauce""},{""S"":""2 tbsp honey""},{""S"":""1 tbsp cornstarch""},{""S"":""2 tbsp water""},{""S"":""Salt and pepper to taste""}]","{""carbs"":{""N"":""50""},""fats"":{""N"":""14""},""proteins"":{""N"":""25""}}","4","true"
"tofu","Vegetable Stir Fry with Tofu","400","easy","[{""S"":""tofu""},{""S"":""broccoli""},{""S"":""carrots""},{""S"":""bell peppers""},{""S"":""onion""},{""S"":""garlic""},{""S"":""soy sauce""},{""S"":""rice vinegar""},{""S"":""cornstarch""},{""S"":""sesame oil""},{""S"":""sriracha""},{""S"":""brown sugar""},{""S"":""salt""},{""S"":""pepper""}]","{""carbs"":{""N"":""30""},""fats"":{""N"":""20""},""proteins"":{""N"":""20""}}","4","true"
"romaine lettuce","Caesar Salad","250","easy","[{""S"":""romaine lettuce""},{""S"":""croutons""},{""S"":""parmesan cheese""},{""S"":""lemon juice""},{""S"":""garlic""},{""S"":""dijon mustard""},{""S"":""olive oil""},{""S"":""worcestershire sauce""},{""S"":""egg yolk""},{""S"":""salt""},{""S"":""pepper""}]","{""carbs"":{""N"":""10""},""fats"":{""N"":""20""},""proteins"":{""N"":""8""}}","4","true"
"chicken breast","Grilled Chicken Salad with Citrus Vinaigrette","400","normal","[{""S"":""chicken breast""},{""S"":""mixed greens""},{""S"":""avocado""},{""S"":""tomatoes""},{""S"":""red onion""},{""S"":""orange""},{""S"":""lime""},{""S"":""olive oil""},{""S"":""white wine vinegar""},{""S"":""honey""},{""S"":""dijon mustard""},{""S"":""garlic""},{""S"":""salt""},{""S"":""pepper""}]","{""carbs"":{""N"":""20""},""fats"":{""N"":""25""},""proteins"":{""N"":""35""}}","4","false"
"steak","Steak with Roasted Potatoes and Green Beans","450","normal","[{""S"":""1 lb. steak""},{""S"":""1 lb. baby potatoes""},{""S"":""8 oz. green beans""},{""S"":""4 cloves garlic""},{""S"":""2 tbsp. olive oil""},{""S"":""1 tsp. salt""},{""S"":""1/2 tsp. black pepper""},{""S"":""1 tbsp. chopped fresh rosemary""}]","{""carbs"":{""N"":""30""},""fats"":{""N"":""20""},""proteins"":{""N"":""40""}}","4","false"
"chicken","Chicken Fajita Bowl with Cilantro Lime Rice","480","normal","[{""S"":""chicken breast""},{""S"":""bell peppers""},{""S"":""onion""},{""S"":""black beans""},{""S"":""corn""},{""S"":""cilantro""},{""S"":""lime""},{""S"":""rice""}]","{""carbs"":{""N"":""60""},""fats"":{""N"":""5""},""proteins"":{""N"":""45""}}","4","false"
"chicken","Chicken Parmesan","600","normal","[{""S"":""chicken breast""},{""S"":""breadcrumbs""},{""S"":""parmesan cheese""},{""S"":""mozzarella cheese""},{""S"":""tomato sauce""},{""S"":""flour""},{""S"":""egg""},{""S"":""olive oil""},{""S"":""basil""},{""S"":""salt""},{""S"":""pepper""}]","{""carbs"":{""N"":""40""},""fats"":{""N"":""30""},""proteins"":{""N"":""55""}}","4","false"
"chicken","Grilled Chicken Salad with Citrus Vinaigrette","400","normal","[{""S"":""chicken breast""},{""S"":""mixed greens""},{""S"":""avocado""},{""S"":""tomatoes""},{""S"":""red onion""},{""S"":""orange""},{""S"":""lime""},{""S"":""olive oil""},{""S"":""white wine vinegar""},{""S"":""honey""},{""S"":""dijon mustard""},{""S"":""garlic""},{""S"":""salt""},{""S"":""pepper""}]","{""carbs"":{""N"":""20""},""fats"":{""N"":""25""},""proteins"":{""N"":""35""}}","4","false"
"black beans","Black Bean and Sweet Potato Chili","350","normal","[{""S"":""black beans""},{""S"":""sweet potato""},{""S"":""onion""},{""S"":""garlic""},{""S"":""bell pepper""},{""S"":""diced tomatoes""},{""S"":""tomato paste""},{""S"":""chili powder""},{""S"":""cumin""},{""S"":""paprika""},{""S"":""salt""},{""S"":""black pepper""},{""S"":""cilantro""}]","{""carbs"":{""N"":""50""},""fats"":{""N"":""2""},""proteins"":{""N"":""20""}}","3","true"
"salmon","Baked Salmon with Lemon and Herbs","400","easy","[{""S"":""salmon fillets""},{""S"":""olive oil""},{""S"":""lemon juice""},{""S"":""garlic""},{""S"":""rosemary""},{""S"":""thyme""},{""S"":""salt""},{""S"":""black pepper""}]","{""carbs"":{""N"":""0""},""fats"":{""N"":""25""},""proteins"":{""N"":""35""}}","4","false"
"salmon","Grilled Salmon with Roasted Vegetables","400","normal","[{""S"":""salmon""},{""S"":""asparagus""},{""S"":""bell peppers""},{""S"":""zucchini""},{""S"":""red onion""},{""S"":""garlic""},{""S"":""olive oil""},{""S"":""lemon""},{""S"":""thyme""},{""S"":""salt""},{""S"":""pepper""}]","{""carbs"":{""N"":""20""},""fats"":{""N"":""25""},""proteins"":{""N"":""35""}}","4","false"
"tortilla","Tofu Nachos","550","easy","[{""S"":""corn tortilla chips""},{""S"":""tofu""},{""S"":""black beans""},{""S"":""jalapeno""},{""S"":""cheddar cheese""},{""S"":""avocado""},{""S"":""tomatoes""},{""S"":""cilantro""},{""S"":""lime""},{""S"":""salt""},{""S"":""pepper""}]","{""carbs"":{""N"":""50""},""fats"":{""N"":""30""},""proteins"":{""N"":""25""}}","3","true"
"tortilla","Tofu Tacos","450","easy","[{""S"":""corn tortillas""},{""S"":""tofu""},{""S"":""lettuce""},{""S"":""tomatoes""},{""S"":""red onion""},{""S"":""avocado""},{""S"":""lime""},{""S"":""cilantro""},{""S"":""taco seasoning""},{""S"":""salt""},{""S"":""pepper""}]","{""carbs"":{""N"":""35""},""fats"":{""N"":""20""},""proteins"":{""N"":""25""}}","4","true"
"english muffin","Eggs Benedict","450","hard","[{""S"":""english muffins""},{""S"":""Canadian bacon""},{""S"":""eggs""},{""S"":""butter""},{""S"":""white vinegar""},{""S"":""lemon juice""},{""S"":""egg yolks""},{""S"":""cayenne pepper""},{""S"":""salt""},{""S"":""black pepper""}]","{""carbs"":{""N"":""40""},""fats"":{""N"":""25""},""proteins"":{""N"":""25""}}","5","false"
"pork","Grilled Pork Chops with Sweet Potato Mash","500","normal","[{""S"":""4 bone-in pork chops""},{""S"":""3 tablespoons olive oil""},{""S"":""1 tablespoon garlic powder""},{""S"":""1 tablespoon onion powder""},{""S"":""1 tablespoon smoked paprika""},{""S"":""1 teaspoon salt""},{""S"":""1/2 teaspoon black pepper""},{""S"":""4 medium sweet potatoes, peeled and cubed""},{""S"":""4 tablespoons unsalted butter""},{""S"":""1/4 cup milk""},{""S"":""1 tablespoon maple syrup""},{""S"":""salt and black pepper, to taste""}]","{""carbs"":{""N"":""42""},""fats"":{""N"":""24""},""proteins"":{""N"":""35""}}","4","false"
"vegetarian","Vegetarian Stuffed Bell Peppers","320","easy","[{""S"":""4 large bell peppers""},{""S"":""1 cup cooked rice""},{""S"":""1 can black beans, drained and rinsed""},{""S"":""1 can corn, drained""},{""S"":""1 can diced tomatoes""},{""S"":""1 onion, diced""},{""S"":""1 tablespoon olive oil""},{""S"":""1 teaspoon cumin""},{""S"":""1/2 teaspoon garlic powder""},{""S"":""1/4 teaspoon chili powder""},{""S"":""Salt and pepper to taste""},{""S"":""1 cup shredded cheese""}]","{""carbs"":{""N"":""48""},""fats"":{""N"":""10""},""proteins"":{""N"":""13""}}","3","true"
"WebApp","From Web App w/new keys","100","normal","[{""S"":""one""},{""S"":""six""}]","{""carbs"":{""N"":""12""},""fats"":{""N"":""13""},""proteins"":{""N"":""10""}}","4","true"
"WebApp","Test web app","1000","hard","[{""S"":""hello""},{""S"":""there""},{""S"":""this is a very long ingredient""}]","{""carbs"":{""N"":""2""},""fats"":{""N"":""3""},""proteins"":{""N"":""1""}}","5","true"
"wrap","Falafel Wrap","400","easy","[{""S"":""4-5 falafel balls""},{""S"":""1 large tortilla""},{""S"":""2 tbsp hummus""},{""S"":""1/4 cup chopped tomatoes""},{""S"":""1/4 cup chopped cucumber""},{""S"":""1/4 cup chopped red onion""},{""S"":""1/4 cup chopped lettuce""}]","{""carbs"":{""N"":""50""},""fats"":{""N"":""15""},""proteins"":{""N"":""20""}}","4","true"
"ec2","From EC2!!!","10","easy","[{""S"":""general""},{""S"":""kenobi""}]","{""carbs"":{""N"":""2""},""fats"":{""N"":""3""},""proteins"":{""N"":""1""}}","4","true"